alpha_reference,run,alpha_SK,alpha_SP
3,run-004,3.14462335867692,2.964132
3,run-005,3.14416333644151,2.969155
3,run-006,3.14433813581444,2.967739
3,run-007,3.14478164770484,2.972732
3,run-008,3.14409790495216,2.973217
3,run-009,3.14397941425516,2.970805
3,run-010,3.14445072511153,2.972923
3,run-011,3.14438227967782,2.962953
3,run-012,3.20153911718499,2.964374
3,run-013,3.21014097493247,2.973346
3,run-014,3.14461331181779,2.969895
3,run-015,3.14395729308042,2.969154
3,run-016,3.20069533821119,2.967649
3,run-017,3.14457208650678,2.971901
3,run-018,3.14422077311087,2.972327
3,run-019,3.21662830646063,2.975563
3,run-020,3.14450774593622,2.967729
4,run-001,4.2027155495385,3.919892
4,run-002,4.18496498662135,3.919082
4,run-003,4.20223397455127,3.92573
4,run-004,4.19581333006982,3.92132
4,run-005,4.19165470591492,3.924212
4,run-006,4.1932482587937,3.90319
4,run-007,4.21226856680285,3.93136
4,run-008,4.19426266708625,3.922204
4,run-009,4.19694291612262,3.921879
4,run-010,4.20077970244865,3.924823
4,run-011,4.20302323447662,3.924817
4,run-012,4.19920206980013,3.927389
4,run-013,4.20084946969409,3.931643
4,run-014,4.20452584704887,3.910557
4,run-015,4.19930429780754,3.923322
4,run-016,4.19743353458478,3.915457
4,run-017,4.18419724180507,3.93358
4,run-018,4.19222793479223,3.916222
4,run-019,4.18400717480745,3.928132
4,run-020,4.2029262929476,3.934994
